Timestamp,State,joint_angles_1,joint_angles_2,joint_angles_3,joint_angles_4,joint_angles_5,joint_angles_6,joint_velocity_1,joint_velocity_2,joint_velocity_3,joint_velocity_4,joint_velocity_5,joint_velocity_6,fts_reading_1,fts_reading_2,fts_reading_3,fts_reading_4,fts_reading_5,fts_reading_6,joint_torque_current_1,joint_torque_current_2,joint_torque_current_3,joint_torque_current_4,joint_torque_current_5,joint_torque_current_6,pose_tx,pose_ty,pose_tz,pose_qw,pose_qx,pose_qy,pose_qz,twist_tx,twist_ty,twist_tz,twist_rx,twist_ry,twist_rz,wrench_fx,wrench_fy,wrench_fz,wrench_mx,wrench_my,wrench_mz,encoder_torques_1,encoder_torques_2,encoder_torques_3,encoder_torques_4,encoder_torques_5,encoder_torques_6,encoder_loadinc_1,encoder_loadinc_2,encoder_loadinc_3,encoder_loadinc_4,encoder_loadinc_5,encoder_loadinc_6,encoder_motorinc_1,encoder_motorinc_2,encoder_motorinc_3,encoder_motorinc_4,encoder_motorinc_5,encoder_motorinc_6,wrench__fts_fx,wrench__fts_fy,wrench__fts_fz,wrench_fts_mx,wrench_fts_my,wrench_fts_mz,target_joint_angles_1,target_joint_angles_2,target_joint_angles_3,target_joint_angles_4,target_joint_angles_5,target_joint_angles_6,target_joint_velocity_1,target_joint_velocity_2,target_joint_velocity_3,target_joint_velocity_4,target_joint_velocity_5,target_joint_velocity_6,target_joint_accelerations_1,target_joint_accelerations_2,target_joint_accelerations_3,target_joint_accelerations_4,target_joint_accelerations_5,target_joint_accelerations_6,target_joint_torque_1,target_joint_torque_2,target_joint_torque_3,target_joint_torque_4,target_joint_torque_5,target_joint_torque_6,target_pose_tx,target_pose_ty,target_pose_tz,target_pose_qw,target_pose_qx,target_pose_qy,target_pose_qz,Target_Pose_Twist_tx,Target_Pose_Twist_ty,Target_Pose_Twist_tz,Target_Pose_Twist_qw,Target_Pose_Twist_qx,Target_Pose_Twist_qy,Target_Pose_Twist_qz,Target_Pose_Acceleration_tx,Target_Pose_Acceleration_ty,Target_Pose_Acceleration_tz,Target_Pose_Acceleration_qw,Target_Pose_Acceleration_qx,Target_Pose_Acceleration_qy,Target_Pose_Acceleration_qz
3613.727005047,0,0.378995,0.315872,1.32948,-0.00185718,1.59143,-0.615856,0.00356555,-0.157479,-0.0021358,0.00142387,-0.00249177,0.00284774,-5.393840317737695,-5.002092172150115,-52.70980191922416,0.3142192511502018,-0.3460325196727494,-0.00877764484545121,9.98914,-164.209,-100.203,-0.820625,1.19869,-0.310772,0.806479,0.320832,0.605464,-0.0473521,-0.476646,0.877806,0.00469948,-0.0531611,-0.0215211,0.146343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4098394,3334273,4694905,4636269,14598477,3643091,203270752,-106493682,-255515730,-352479208,340613502,-41750518,0,0,0,0,0,0,0.379069,0.308423,1.32923,-0.00170401,1.59124,-0.615791,0,-0.1569,0,0,0,0,0,2.92226e-19,0,0,0,0,0.010928,-118.984,-55.0071,2.09281,-0.277059,0.0204135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3613.73087135,0,0.378999,0.315249,1.32948,-0.00185905,1.59144,-0.615854,0.00148565,-0.156884,-0.0032037,0.0021358,-0.0021358,0.00569547,-5.393840317737695,-5.002092172150115,-52.70980191922416,0.3142192511502018,-0.3460325196727494,-0.00877764484545121,9.47949,-162.374,-99.3388,-1.33891,0.88792,-0.677039,0.806278,0.320755,0.606004,-0.0470447,-0.476654,0.877819,0.00466181,-0.046238,-0.0183443,0.122938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4098384,3335936,4694906,4636274,14598483,3643085,203270822,-106295682,-255515810,-352479235,340613343,-41750817,0,0,0,0,0,0,0.379069,0.307796,1.32923,-0.00170401,1.59124,-0.615791,0,-0.1569,0,0,0,0,0,7.30566e-20,0,0,0,0,0.0109153,-118.905,-55.011,2.09292,-0.279605,0.0202768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3613.734865814,0,0.378998,0.314571,1.32948,-0.00185606,1.59143,-0.615847,0.00029713,-0.156884,-0.00533951,0.0032037,-0.0042716,0.00569547,-5.393840317737695,-5.002092172150115,-52.70980191922416,0.3142192511502018,-0.3460325196727494,-0.00877764484545121,8.56212,-159.52,-97.6544,-1.68444,1.04331,-0.310772,0.80606,0.320668,0.606593,-0.0467057,-0.476658,0.877835,0.00462286,-0.0541903,-0.0217213,0.148141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4098388,3337748,4694906,4636266,14598471,3643068,203270848,-106084835,-255515860,-352479266,340613085,-41750829,0,0,0,0,0,0,0.379069,0.307168,1.32923,-0.00170401,1.59124,-0.615791,0,-0.1569,0,0,0,0,0,1.82641e-20,0,0,0,0,0.0109035,-118.831,-55.0145,2.09301,-0.281921,0.0201528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3613.738870777,0,0.378998,0.313948,1.32947,-0.00185531,1.59142,-0.615847,0.00148565,-0.156884,-0.00533951,0.00391564,-0.00569547,0.0042716,-5.491680936010563,-4.970753733260437,-52.71667837280585,0.3176343161491096,-0.3419922323396931,-0.008959228298805189,6.72738,-163.292,-95.4085,-1.51168,1.45397,0.11099,0.805862,0.320589,0.607134,-0.0463901,-0.476664,0.877849,0.00458567,-0.0477593,-0.0190902,0.130347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4098388,3339411,4694902,4636264,14598439,3643067,203270822,-105887128,-255515901,-352479271,340612709,-41750864,0,0,0,0,0,0,0.379069,0.306541,1.32923,-0.00170401,1.59124,-0.615791,0,-0.1569,0,0,0,0,0,4.56604e-21,0,0,0,0,0.0108909,-118.753,-55.0183,2.09311,-0.284446,0.020017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3613.742872602,0,0.378996,0.313286,1.32947,-0.00185643,1.59142,-0.615842,0.00415981,-0.156884,-0.00462757,0.0032037,-0.00569547,0.00177984,-5.491680936010563,-4.970753733260437,-52.71667837280585,0.3176343161491096,-0.3419922323396931,-0.008959228298805189,5.30036,-159.52,-97.784,-0.302336,1.25419,0.366267,0.80565,0.320502,0.607709,-0.0460597,-0.476669,0.877864,0.00454573,-0.0536364,-0.0230736,0.147398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4098393,3341179,4694897,4636267,14598433,3643055,203270794,-105673297,-255515971,-352479244,340612322,-41750689,0,0,0,0,0,0,0.379069,0.305913,1.32923,-0.00170401,1.59124,-0.615791,0,-0.1569,0,0,0,0,0,1.14151e-21,0,0,0,0,0.0108791,-118.679,-55.0219,2.09321,-0.286815,0.0198893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3613.746897625,0,0.378997,0.312607,1.32947,-0.00185681,1.59141,-0.615847,0.00475407,-0.155102,-0.00533951,0.0010679,-0.00569547,-0,-5.66165075791816,-5.087074961692581,-52.72331968040989,0.3145510393503173,-0.3336890951724615,-0.009091534252845423,4.79071,-160.03,-97.4816,-0.647862,1.50946,0.11099,0.805432,0.320417,0.6083,-0.0457172,-0.476678,0.877877,0.00450486,-0.0549242,-0.0220832,0.148018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4098390,3342990,4694885,4636268,14598412,3643067,203270769,-105464653,-255516020,-352479247,340611950,-41750673,0,0,0,0,0,0,0.379069,0.305285,1.32923,-0.00170401,1.59124,-0.615791,0,-0.1569,0,0,0,0,0,2.85377e-22,0,0,0,0,0.0108663,-118.599,-55.0257,2.09331,-0.2894,0.0197505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3613.75230135,0,0.378996,0.31167,1.32947,-0.00185868,1.59141,-0.615844,0.00267417,-0.155102,-0.00284774,0.0010679,-0.00569547,0.00177984,-5.66165075791816,-5.087074961692581,-52.72331968040989,0.3145510393503173,-0.3336890951724615,-0.009091534252845423,4.28106,-157.176,-97.3089,-0.647862,1.56496,0.266376,0.805129,0.320295,0.609114,-0.0452532,-0.476687,0.877897,0.00444864,-0.0520167,-0.0211697,0.14091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4098392,3345492,4694878,4636273,14598422,3643059,203270731,-105164870,-255516063,-352479221,340611494,-41750564,0,0,0,0,0,0,0.379069,0.304344,1.32923,-0.00170401,1.59124,-0.615791,0,-0.15688,0,0,0,0,0,0.02,0,0,0,0,0.0108482,-118.486,-55.031,2.09345,-0.292984,0.019558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3613.759740808,0,0.378998,0.310723,1.32946,-0.00185606,1.59141,-0.615845,-0,-0.153022,-0.00177984,0.0010679,-0.0032037,0.00569547,-5.735119950103654,-5.132318443594507,-52.71222120772222,0.3060906733070018,-0.3230475401135907,-0.009170932300636953,10.9065,-158.603,-99.3388,-0.647862,1.1432,-0.310772,0.804821,0.320174,0.609937,-0.0447818,-0.476697,0.877915,0.00439385,-0.045206,-0.0185271,0.122967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4098388,3348021,4694868,4636266,14598424,3643061,203270760,-104865896,-255516142,-352479216,340611220,-41750824,0,0,0,0,0,0,0.379069,0.303403,1.32923,-0.00170401,1.59124,-0.615791,0,-0.15658,0,0,0,0,0,0.08,0,0,0,0,-0.0354973,-117.396,-54.7207,2.08273,-0.292052,0.0159391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3613.760050523,0,0.378999,0.310391,1.32946,-0.00185868,1.59142,-0.615846,0.00415981,-0.153022,-0.00498354,0.00498354,-0.00569547,-0,-5.735119950103654,-5.132318443594507,-52.71222120772222,0.3060906733070018,-0.3230475401135907,-0.009170932300636953,5.70808,-161.865,-97.9567,-1.33891,0.987811,0.366267,0.804712,0.320132,0.610225,-0.0446194,-0.476702,0.877921,0.00437322,-0.0544849,-0.0214197,0.14376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4098385,3348908,4694869,4636273,14598435,3643066,203270687,-104764935,-255516184,-352479312,340611038,-41750633,0,0,0,0,0,0,0.379069,0.30309,1.32923,-0.00170401,1.59124,-0.615791,0,-0.1564,0,0,0,0,0,0.1,0,0,0,0,-0.0509658,-117.034,-54.6171,2.07915,-0.291579,0.0147418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3613.762901377,0,0.378998,0.310061,1.32946,-0.00185456,1.59141,-0.615847,0.00029713,-0.152725,-0.000355967,0.00142387,-0.00498354,0.00533951,-5.735119950103654,-5.132318443594507,-52.71222120772222,0.3060906733070018,-0.3230475401135907,-0.009170932300636953,12.3335,-159.52,-101.758,-1.51168,1.19869,-0.410663,0.804605,0.320089,0.610509,-0.0444555,-0.476706,0.877927,0.00435581,-0.0537216,-0.0211847,0.142044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4098386,3349788,4694874,4636262,14598429,3643068,203270799,-104659604,-255516176,-352479277,340610893,-41750772,0,0,0,0,0,0,0.379069,0.302778,1.32923,-0.00170401,1.59124,-0.615791,0,-0.15618,0,0,0,0,0,0.12,0,0,0,0,-0.0664478,-116.664,-54.5137,2.07557,-0.291273,0.013536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
